id	signal
19368849	0
19510426	2
19564082	0
19592927	8
19621546	9
19625985	4
19674238	7
19682403	1
19686518	5
19730279	8
19731887	4
19736900	6
19742185	8
19777838	8
19781064	10
19787267	2
19796078	3
19806797	1
19824092	6
19856675	6
19877975	0
19920667	1
19944850	0
19949347	6
19953268	0
19990682	1
20063343	5
20076178	0
20087934	6
20099853	7
20107136	5
20122922	7
20124013	4
20129198	6
20142839	0
20144281	0
20148375	1
20173111	3
20190505	7
20193138	4
20219262	2
20235898	1
20236819	4
20239015	4
20245542	1
20259557	2
20298438	1
20308373	9
20308775	1
20339317	6
20351080	5
20362351	5
20365538	0
20373735	1
20383700	7
20449888	4
20454442	5
20479403	2
20503768	7
20525444	6
20614790	9
20618226	5
20686192	4
20761395	0
20794070	0
20813724	1
20837923	0
20847719	7
20849432	2
20872581	4
20892810	7
20915605	7
20923080	6
20941817	0
20995689	3
21011104	6
21046011	1
21061242	1
21064249	6
21091789	8
21107063	2
21108951	1
21150676	10
21216692	2
21225046	5
21236716	0
21277282	1
21305039	6
21321083	5
21341915	0
21345663	9
21349304	1
21430314	3
21435792	2
21444916	6
21453749	2
21463729	7
21476287	1
21494607	0
21500691	0
21511729	5
21529088	1
21530372	1
21534301	0
21588644	0
21629296	4
21646510	1
21652275	1
21673263	7
21686054	6
21690680	0
21705863	0
21723462	4
21724357	0
21742547	5
21745418	0
21748780	2
21793716	3
21799137	2
21856107	1
21875389	0
21898102	1
21914404	1
21934097	5
21938899	0
21990476	0
21998256	1
22043377	6
22063721	6
22086683	7
22128180	1
22150705	5
22250887	1
22273293	8
22274562	0
22278616	4
22297198	6
22305930	2
22324364	1
22337007	2
22349799	0
22350802	1
22352721	2
22380228	4
22400006	0
22401492	1
22402134	8
22427867	6
22429557	2
22445294	2
22452297	1
22470475	4
22494640	0
22509979	0
22516887	2
22557405	2
22576540	1
22584158	1
22608573	2
22616371	4
22622697	3
22677087	1
22682914	0
22723801	2
22739728	1
22741206	0
22741718	4
22746067	1
22761232	1
22769915	1
22781997	6
22797755	0
22803217	2
22828702	10
22830739	5
22838208	8
22854271	2
22868101	5
22887643	1
22900334	4
22911302	5
22912027	1
22930381	0
22951118	2
22973476	1
22990117	0
22990984	0
23003311	5
23079070	0
23090227	1
23147587	2
23175573	0
23209619	7
23220583	0
23239718	2
23251603	3
23280412	7
23285615	0
23323660	4
23325257	1
23355772	1
23357638	0
23359351	2
23364397	1
23381069	1
23409426	2
23424107	1
23455065	1
23463066	3
23487068	2
23489868	1
23512862	0
23541122	0
23545685	2
23566952	4
23646926	0
23747248	1
23749050	4
23755811	8
23789598	1
23825037	2
23838725	2
23857938	0
23862615	7
23902656	1
23938458	1
23962385	1
24014225	7
24015702	0
24025170	1
24061820	6
24065459	4
24072899	0
24096252	1
24104640	2
24123440	0
24147016	2
24148666	1
24195461	0
24196518	5
24213145	6
24267641	1
24274781	1
24276229	3
24279838	0
24287544	1
24331819	1
24348859	2
24361865	0
24363044	0
24394567	0
24432990	3
24481475	0
24486461	1
24501593	0
24504915	4
24531508	0
24546633	1
24618558	2
24620528	0
24622033	8
24677398	1
24691440	0
24697974	9
24698855	0
24700631	1
24740194	1
24741265	1
24747403	2
24757792	2
24845506	0
24867657	0
24915945	4
24947459	3
24971940	1
25020545	0
25041069	3
25045991	0
25066845	2
25088553	3
25089887	1
25107549	1
25119203	6
25134404	6
25149976	0
25159534	2
25162501	0
25167565	2
25188829	2
25236590	1
25364559	0
25396815	0
25398185	2
25401827	3
25412565	2
25441357	6
25478202	3
25487753	2
25537592	0
25567869	2
25569927	4
25599747	2
25614761	8
25634619	7
25636887	1
25689709	0
25753134	1
25764301	0
25779300	1
25810391	1
25838431	0
25851878	0
25859022	5
25859081	4
25861889	0
25871910	0
25875351	0
25890323	4
25944284	0
25982591	0
26009491	2
26020857	1
26041715	1
26043101	3
26049740	1
26072072	2
26084707	0
26102660	0
26106108	0
26122987	1
26164314	3
26165146	1
26165794	2
26172056	0
26184043	0
26185263	2
26220920	1
26240107	1
26242740	0
26246798	1
26249911	1
26258753	6
26259841	5
26299799	1
26320171	1
26324114	4
26325818	5
26375650	2
26397432	2
26430011	1
26435145	0
26478030	1
26481035	4
26523974	2
26532666	0
26572873	4
26592121	2
26604092	0
26612598	6
26649126	0
26652516	0
26658870	2
26697068	0
26739414	5
26740280	1
26789414	1
26815097	2
26820845	0
26838279	0
26850151	1
26871944	1
26917890	2
26989905	1
27026256	0
27049686	1
27051350	4
27052532	2
27087414	0
27166760	1
27227677	0
27251714	2
27260157	0
27274880	6
27306610	0
27374381	1
27374862	0
27408250	1
27419564	1
27420904	0
27493798	0
27500790	1
27523081	2
27586316	2
27595981	0
27663726	4
27696687	6
27752114	0
27775975	1
27800999	6
27812344	0
27815601	1
27840714	2
27842835	0
27845645	1
27892784	1
27899395	0
27924441	1
27942150	5
27956504	0
27959280	0
27974136	0
28022340	1
28042230	5
28049438	6
28051617	0
28097492	0
28099747	3
42344319	7
42780378	6
43256704	3
46267975	7
46268205	9
46268211	7
46268222	3
46268399	6
46268432	2
46268467	5
46268473	7
46269182	2
46269226	6
46269806	8
46270049	9
46270052	1
46270052	2
46270480	10
46270523	7
46270582	7
46270890	8
46270943	9
46270944	6
46270945	10
46270955	10
46270992	0
46271008	0
46271367	7
46271370	6
46271384	3
46271525	7
46271534	9
46271535	7
46271576	6
46271577	8
46271952	8
46271961	2
46272010	5
46272017	1
46272029	6
46272149	5
46272189	2
46272220	4
46272225	8
46272234	10
46272249	6
46272290	5
46272299	8
46272311	1
46272312	6
46272335	9
46272410	7
46272595	8
46272625	3
46272640	3
46272657	2
46272664	7
46272671	8
46272690	9
46272770	2
46272824	6
46272884	9
46272901	8
46272920	8
46272921	8
46272923	0
46272967	0
46273094	6
46273298	5
46273304	2
46273314	8
46273520	1
46273563	1
46273571	0
46274006	6
46274709	0
46275074	1
46275086	5
46275087	3
46275088	4
46275129	4
46275273	2
46275454	9
46275462	8
46275813	4
46275868	7
46276087	6
46276093	6
46276264	1
46276645	3
46276679	2
46276788	2
46276944	8
46277107	1
46277108	3
46277174	2
46277196	5
46277520	7
46277589	4
46277646	3
46277653	8
46277717	8
46277857	2
46277863	0
46278165	3
46278392	7
46278470	2
46278799	2
46278828	3
46278850	7
46279010	2
46279199	5
46279207	4
46279250	1
46279365	4
46279845	9
46280002	7
46280089	0
46280090	4
46280162	0
46280449	1
46280451	2
46280453	2
46280495	0
46280734	3
46280737	4
46280801	9
46281118	2
46281161	0
46281420	4
46281433	4
46281686	3
46281914	1
46281918	3
46281932	6
46282270	8
46282489	2
46283269	0
46283370	3
46283387	7
46283392	7
46283562	0
46283598	0
46283619	8
46283660	6
46283881	2
46283954	5
46284064	0
46284121	9
46284728	8
46284736	4
46285070	7
46285483	1
46285570	6
46285626	0
46285634	0
46285713	4
46285761	1
46285877	2
46285891	6
46285914	3
46285925	6
46285941	6
46286194	1
46286215	2
46286298	0
46286299	3
46286475	1
46286489	1
46286511	7
46286587	1
46286754	1
46286778	1
46286800	7
46287068	0
