id	type
19368849	2
19564082	0
19592927	2
19621546	2
19625985	2
19682403	0
19686518	2
19736900	2
19742185	2
19777838	2
19781064	2
19787267	3
19796078	2
19806797	0
19920667	2
19944850	2
19949347	2
19953268	2
20063343	2
20076178	2
20107136	2
20124013	2
20129198	0
20142839	2
20144281	6
20173111	0
20190505	2
20193138	2
20219262	2
20235898	2
20236819	2
20239015	2
20245542	2
20259557	1
20298438	2
20308373	2
20308775	0
20351080	2
20362351	2
20365538	1
20373735	2
20383700	2
20449888	2
20454442	2
20479403	2
20503768	2
20525444	1
20614790	2
20761395	0
20813724	0
20837923	6
20847719	1
20849432	2
20872581	3
20892810	1
20923080	2
20941817	2
21046011	0
21091789	2
21108951	2
21150676	2
21225046	0
21236716	0
21277282	2
21321083	2
21341915	6
21345663	3
21349304	0
21430314	2
21435792	0
21453749	2
21463729	6
21494607	2
21511729	2
21529088	2
21530372	0
21534301	0
21588644	2
21629296	2
21646510	2
21652275	0
21673263	1
21690680	5
21705863	0
21723462	2
21724357	2
21745418	2
21748780	2
21793716	2
21799137	0
21856107	2
21875389	2
21898102	2
21934097	2
21938899	0
21990476	0
21998256	2
22063721	2
22150705	2
22250887	2
22273293	2
22274562	2
22278616	2
22305930	2
22349799	0
22350802	2
22380228	2
22400006	0
22402134	2
22427867	2
22429557	6
22445294	2
22494640	2
22509979	2
22516887	2
22576540	2
22584158	0
22608573	2
22616371	2
22622697	2
22677087	6
22723801	2
22739728	2
22741206	6
22741718	2
22769915	0
22781997	2
22828702	2
22830739	2
22854271	2
22868101	2
22887643	6
22900334	2
22911302	2
22912027	2
22930381	0
22990117	2
22990984	0
23003311	2
23090227	2
23147587	0
23175573	0
23209619	2
23220583	0
23239718	2
23251603	0
23280412	2
23355772	2
23357638	2
23359351	0
23409426	6
23424107	6
23455065	2
23463066	2
23487068	2
23489868	2
23512862	0
23541122	2
23566952	2
23646926	2
23747248	0
23789598	2
23825037	2
23857938	0
23862615	2
23902656	2
23938458	6
23962385	2
24014225	2
24015702	0
24025170	2
24061820	2
24096252	2
24104640	6
24123440	2
24147016	2
24148666	2
24196518	2
24213145	6
24267641	0
24274781	2
24279838	0
24287544	2
24331819	0
24348859	2
24361865	2
24363044	0
24394567	2
24432990	2
24481475	0
24486461	2
24501593	2
24504915	2
24531508	6
24546633	2
24618558	0
24620528	2
24622033	2
24677398	2
24691440	6
24697974	2
24698855	2
24740194	2
24845506	6
24915945	2
24971940	2
25020545	2
25045991	2
25066845	2
25088553	2
25089887	0
25107549	0
25134404	2
25149976	0
25159534	2
25167565	2
25188829	2
25364559	2
25398185	0
25412565	2
25441357	6
25478202	2
25487753	0
25537592	2
25567869	2
25569927	2
25599747	2
25614761	3
25634619	2
25636887	0
25689709	0
25764301	2
25779300	2
25838431	2
25851878	0
25859022	2
25859081	2
25875351	6
25890323	2
25944284	6
25982591	0
26009491	2
26020857	2
26041715	2
26043101	2
26049740	2
26106108	0
26122987	2
26164314	0
26165794	2
26184043	2
26220920	2
26240107	2
26242740	0
26246798	2
26258753	2
26299799	2
26320171	0
26324114	2
26375650	2
26397432	0
26430011	2
26435145	0
26523974	2
26532666	0
26572873	2
26592121	2
26604092	0
26612598	2
26649126	0
26652516	2
26697068	0
26739414	2
26789414	2
26815097	2
26820845	6
26838279	2
26871944	2
26917890	2
27026256	0
