pattern,n,1h_avg_gain,1h_med_gain,1h_pct_2pct_gain,1h_avg_dd,1h_med_dd,1h_pct_5pct_dd,2h_avg_gain,2h_med_gain,2h_pct_2pct_gain,2h_avg_dd,2h_med_dd,2h_pct_5pct_dd,4h_avg_gain,4h_med_gain,4h_pct_2pct_gain,4h_avg_dd,4h_med_dd,4h_pct_5pct_dd,8h_avg_gain,8h_med_gain,8h_pct_2pct_gain,8h_avg_dd,8h_med_dd,8h_pct_5pct_dd,1d_avg_gain,1d_med_gain,1d_pct_2pct_gain,1d_avg_dd,1d_med_dd,1d_pct_5pct_dd,2d_avg_gain,2d_med_gain,2d_pct_2pct_gain,2d_avg_dd,2d_med_dd,2d_pct_5pct_dd
shares_trading_lower,11,0.48,0.48,0.0,-0.82,-0.66,0.0,0.59,0.48,9.1,-1.06,-0.73,0.0,0.68,0.51,9.1,-1.07,-0.73,0.0,0.86,0.51,18.2,-1.07,-0.73,0.0,2.15,1.91,45.5,-1.34,-1.05,0.0,2.15,1.91,45.5,-2.33,-1.75,0.0
raised_to_from,113,1.65,0.78,20.5,-1.21,-0.86,2.7,2.08,0.93,28.6,-1.53,-1.2,3.6,2.58,1.61,39.8,-1.91,-1.49,6.5,2.99,1.8,45.1,-2.09,-1.62,7.1,3.27,1.92,46.9,-2.85,-2.39,15.9,3.72,1.97,49.6,-3.44,-3.12,25.7
stock_rallies_surges,74,2.25,1.08,34.0,-1.66,-1.21,6.4,2.72,1.63,40.0,-1.92,-1.27,8.0,3.27,1.84,45.8,-2.82,-1.51,13.6,3.58,1.92,48.4,-3.22,-1.66,21.0,5.09,2.64,51.4,-3.92,-2.39,27.0,5.82,2.98,54.1,-5.09,-3.26,31.1
shares_rise_jump_surge,96,1.27,0.83,25.5,-1.17,-0.53,3.6,1.72,1.41,39.3,-1.74,-0.85,8.2,2.32,1.46,41.2,-2.29,-1.1,11.8,2.67,1.52,42.3,-2.46,-1.24,12.7,4.03,2.6,63.2,-3.45,-2.38,18.9,5.23,2.96,63.5,-4.02,-2.96,22.9
reports_results_quarter,326,3.16,1.76,46.0,-3.38,-2.92,22.3,3.76,2.46,55.2,-3.85,-3.26,28.3,4.42,2.92,62.3,-4.32,-3.61,34.2,5.02,3.32,65.5,-4.76,-3.62,37.2,5.95,4.4,72.3,-5.73,-4.69,46.8,7.04,5.2,74.8,-6.64,-5.29,53.2
FDA_phase_trial,193,1.24,0.62,20.9,-2.71,-1.44,13.4,2.92,1.67,44.7,-3.53,-1.8,24.3,4.15,2.74,55.1,-4.22,-2.5,29.9,5.91,3.16,58.9,-4.68,-2.76,33.3,7.69,4.22,68.7,-4.89,-3.08,39.0,9.58,4.94,76.0,-5.74,-4.22,44.3
earnings_beat,48,1.23,0.78,12.5,-1.12,-0.82,0.0,1.26,0.85,11.8,-1.64,-1.32,2.9,2.24,1.33,30.0,-2.37,-1.53,5.0,2.42,1.33,30.0,-2.49,-1.56,5.0,3.31,1.56,45.8,-3.07,-2.03,12.5,3.68,1.89,50.0,-3.68,-2.15,16.7
guidance_outlook,288,1.75,1.15,33.3,-1.58,-0.94,7.4,2.75,1.88,46.8,-2.39,-1.39,8.9,3.65,2.32,54.1,-3.62,-2.39,21.5,3.71,2.48,55.9,-3.72,-2.37,24.2,4.87,3.23,63.4,-4.76,-3.49,34.5,5.45,3.38,65.9,-5.56,-4.21,42.5
buyback_repurchase,197,1.92,1.29,35.7,-1.0,-0.53,1.8,4.08,2.4,53.9,-1.98,-1.3,5.3,4.47,2.6,57.7,-2.46,-1.36,9.6,5.06,2.96,65.8,-2.71,-1.3,10.8,4.81,3.42,62.6,-3.5,-2.6,19.0,5.54,4.11,67.7,-4.11,-2.86,25.1
acquisition_merger,594,1.8,0.77,24.8,-1.59,-0.7,7.0,2.78,1.17,35.0,-2.45,-1.12,12.7,3.07,1.58,41.1,-2.85,-1.27,17.1,3.37,1.7,45.5,-3.28,-1.45,19.9,3.51,1.8,45.7,-3.64,-2.0,22.9,3.98,1.84,47.3,-4.81,-2.81,30.9
contract_order_win,7,1.39,0.55,40.0,-1.3,-1.09,0.0,3.33,3.91,80.0,-1.3,-1.09,0.0,4.85,4.35,83.3,-2.38,-1.31,16.7,5.02,4.35,83.3,-2.38,-1.31,16.7,4.54,4.35,71.4,-3.38,-2.79,28.6,8.73,7.21,71.4,-4.75,-3.55,42.9
_BASELINE_ALL,17247,1.32,0.64,17.5,-1.18,-0.59,3.4,1.96,0.93,27.2,-1.64,-0.8,6.7,2.62,1.29,37.2,-2.17,-1.09,10.5,2.97,1.45,40.6,-2.44,-1.23,12.9,3.84,2.08,50.9,-3.47,-2.1,21.8,4.62,2.46,55.8,-4.25,-2.76,29.1
_BASELINE_NO_PATTERN,15339,1.24,0.61,16.1,-1.1,-0.56,2.7,1.85,0.9,25.6,-1.53,-0.76,5.9,2.52,1.23,35.9,-2.06,-1.03,9.5,2.85,1.4,39.3,-2.32,-1.16,12.0,3.73,2.0,50.0,-3.37,-2.03,20.9,4.51,2.4,55.2,-4.15,-2.65,28.3
