symbol,entry_time,exit_time,entry_price,exit_price,exit_pnl_pct,peak_pnl_pct,trough_pnl_pct,exit_reason,exit_reason_cat,n_portfolios,total_minutes_held,minutes_to_peak,live_config_id
XPL,2026-03-05T20:28:36.792384+00:00,2026-03-09T13:31:23.525426+00:00,0.78999,0.8353000283241272,5.7355,5.7355,-2.5304,signal,vdd_signal,1,259,259,lc_4eba845ea079
FSTR,2026-03-05T20:29:14.471076+00:00,2026-03-06T17:11:31.407712+00:00,29.55,28.072499999999998,-5.0,1.5567,-5.6176,guard_stop,guard_stop,1,21,8,lc_4eba845ea079
NFLX,2026-03-05T20:29:24.534324+00:00,2026-03-09T16:08:19.286432+00:00,99.175,97.56500244140625,-1.6234,0.6203,-2.5309,signal,vdd_signal,1,2085,762,lc_4eba845ea079
AMPX,2026-03-05T20:36:40.762202+00:00,2026-03-09T16:08:19.908201+00:00,14.771,16.6299991607666,12.5855,18.4077,-4.8812,signal,vdd_signal,2,1437,1395,lc_4eba845ea079
BTDR,2026-03-05T20:36:41.779385+00:00,2026-03-06T14:42:06.807805+00:00,7.765,7.3767499999999995,-5.0,2.2537,-4.8294,guard_stop,guard_stop,1,138,33,lc_4eba845ea079
KHC,2026-03-05T20:42:49.056018+00:00,2026-03-09T13:31:26.395201+00:00,24.3,24.375,0.3086,1.0494,-3.2305,signal,vdd_signal,2,723,602,lc_4eba845ea079
EA,2026-03-05T20:47:54.277528+00:00,2026-03-06T16:34:20.346060+00:00,200.95,198.05999755859375,-1.4382,0.0249,-2.1299,signal,vdd_signal,2,277,0,lc_4eba845ea079
CHAC,2026-03-06T14:32:43.112080+00:00,2026-03-09T13:31:27.417237+00:00,10.3,10.31,0.0971,0.4854,-0.1942,signal,vdd_signal,2,299,283,lc_4eba845ea079
GNK,2026-03-06T14:33:12.566069+00:00,2026-03-06T16:34:21.963529+00:00,21.68,22.209999084472656,2.4446,3.3206,0.0923,signal,vdd_signal,2,109,11,lc_4eba845ea079
TEN,2026-03-06T14:33:17.324135+00:00,2026-03-09T16:08:20.991425+00:00,34.3,37.939998626708984,10.6122,10.6122,-0.5539,signal,vdd_signal,2,465,464,lc_4eba845ea079
GCO,2026-03-06T14:33:30.095143+00:00,2026-03-06T14:39:44.674948+00:00,31.28,29.716,-5.0,-0.8951,-9.9425,guard_stop,guard_stop,2,5,1,lc_4eba845ea079
HOOD,2026-03-06T14:35:50.500392+00:00,2026-03-09T13:31:30.667806+00:00,77.3584,78.6422,1.6595,2.051,-3.4623,signal,vdd_signal,2,872,148,lc_4eba845ea079
ALV,2026-03-06T14:37:41.614790+00:00,2026-03-09T13:31:33.251540+00:00,108.74,110.52,1.6369,2.1381,-1.2047,signal,vdd_signal,2,338,273,lc_4eba845ea079
GDRX,2026-03-06T14:38:02.530828+00:00,2026-03-06T15:43:41.964140+00:00,2.28,2.166,-5.0,1.5351,-5.7018,guard_stop,guard_stop,1,63,4,lc_4eba845ea079
LLY,2026-03-06T14:40:41.507058+00:00,2026-03-09T16:08:23.263228+00:00,969.72,992.1500244140625,2.313,3.6098,-0.331,signal,vdd_signal,2,970,920,lc_4eba845ea079
ATEX,2026-03-06T14:44:08.450798+00:00,2026-03-10T15:17:25.956013+00:00,38.54,39.060001373291016,1.3493,5.0856,-2.5947,signal,vdd_signal,2,514,256,lc_4eba845ea079
ALNT,2026-03-06T14:44:11.929125+00:00,2026-03-10T14:42:16.992324+00:00,58.405,64.30999755859375,10.1104,13.2609,-2.5549,signal,vdd_signal,2,495,236,lc_4eba845ea079
IMPP,2026-03-06T14:46:45.744217+00:00,2026-03-06T19:21:01.099332+00:00,4.23,4.570000171661377,8.0378,9.9291,0.9456,signal,vdd_signal,1,242,232,lc_4eba845ea079
AUR,2026-03-06T14:51:33.913260+00:00,2026-03-06T17:26:56.448679+00:00,4.425,4.440000057220459,0.339,1.1299,-2.2599,signal,vdd_signal,1,154,33,lc_4eba845ea079
RTX,2026-03-06T14:53:45.131646+00:00,2026-03-06T18:12:45.175301+00:00,204.7,206.9149932861328,1.0821,1.8376,-0.4543,signal,vdd_signal,1,198,198,lc_ab8aa7f25745
GOOG,2026-03-06T14:53:59.197462+00:00,2026-03-06T18:25:58.791324+00:00,297.81,299.80999755859375,0.6716,0.8294,-0.1231,signal,vdd_signal,1,211,44,lc_ab8aa7f25745
WLY,2026-03-06T14:54:32.116630+00:00,2026-03-09T13:31:38.441440+00:00,36.3,37.25,2.6171,5.2342,-2.1625,signal,vdd_signal,1,314,294,lc_ab8aa7f25745
LNG,2026-03-06T14:56:28.114531+00:00,2026-03-09T16:08:26.785318+00:00,252.06,255.97000122070312,1.5512,5.5304,-0.4503,signal,vdd_signal,1,882,578,lc_ab8aa7f25745
